SUBWYST_ID,STATION_ID,NYCT_ID,LINE,DIVISION,STAT_LABEL,DISP_X,DISP_Y,DISP_NAME,DISP_LINE,DISP_NOTE,X,Y
62,66,1426,WEST END LINE,BMT,BMT-D-18 AVE,983808,160691,18th Ave,D,D-all times,983774.639,160689.8896
61,67,1427,WEST END LINE,BMT,BMT-D-20 AVE,984757,159577,20th Ave,D,D-all times,984731.5246,159554.1704
54,68,1428,WEST END LINE,BMT,BMT-D-BAY PKY,986006,158583,Bay Pky,D,D-all times,985960.0304,158590.0794
53,69,1429,WEST END LINE,BMT,BMT-D-25 AVE,987908,157036,25th Ave,D,D-all times,987903.2902,157040.2732
78,70,1430,WEST END LINE,BMT,BMT-D-BAY 50 ST,988759,153807,Bay 50th St,D,D-all times,988780.8828,153655.9956
35,71,1431,SEA BEACH LINE,BMT,BMT-N-8 AVE,981054,170614,8th Ave,N,N-all times,981052.5196,170611.4766
34,72,1432,SEA BEACH LINE,BMT,BMT-N-FT HAMILTON PKWY,982765,169307,Ft Hamilton Pkwy,N,N-all times,982782.8824,169290.2956
64,73,1433,SEA BEACH LINE,BMT,BMT-N-NEW UTRECHT AVE,985262,166923,New Utrecht Ave,N,N-all times,985180.0462,167140.508
56,74,1434,SEA BEACH LINE,BMT,BMT-N-18 AVE,986900,165410,18th Ave,N,N-all times,986907.3518,165418.312
55,75,1435,SEA BEACH LINE,BMT,BMT-N-20 AVE,988547,164106,20th Ave,N,N-all times,988542.159,164100.4834
84,76,1436,SEA BEACH LINE,BMT,BMT-N-BAY PKY,989309,162047,Bay Pky,N,N-all times,989290.9002,162043.1752
72,77,1437,SEA BEACH LINE,BMT,BMT-N-KINGS HWY,989700,159352,Kings Hwy,N,N-all times,989702.6468,159352.621
71,78,1438,SEA BEACH LINE,BMT,BMT-N-AVE U,990059,156866,Ave U,N,N-all times,990059.4552,156866.5116
79,79,1439,SEA BEACH LINE,BMT,BMT-N-GRAVESEND-86 ST,990308,155128,Gravesend - 86th St,N,N-all times,990300.3042,155126.6654
353,80,1335,JAMAICA LINE,BMT,BMT-JP-ZR-121 ST,1031845,194528,121st St,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",1031844.358,194530.8058
352,81,1334,JAMAICA LINE,BMT,BMT-J- 111 ST,1029506,193296,111th St,J,J-all times,1029481.352,193278.3974
406,82,1333,JAMAICA LINE,BMT,BMT-JP-ZR-104 ST-102 ST,1027388,192582,104th-102nd Sts,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",1027387.87,192584.5158
351,83,1332,JAMAICA LINE,BMT,BMT-J-ZR-WOODHAVEN BLVD,1025277,192046,Woodhaven Blvd,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound",1025277.117,192045.9856
350,84,1331,JAMAICA LINE,BMT,BMT-J-85 ST-FOREST PKY,1023050,191577,85th St - Forest Pky,J,J-all times,1023050.035,191570.575
384,85,1330,JAMAICA LINE,BMT,BMT-JP-ZR-75 ST-ELDERT LN,1021053,191160,75th St - Eldert Ln,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",1021052.082,191164.709
383,86,1329,JAMAICA LINE,BMT,BMT-J-CYPRESS HILLS,1019381,190548,Cypress Hills,J,J-all times,1019381.475,190546.695
381,87,1328,JAMAICA LINE,BMT,BMT-J-ZR-CRESCENT ST,1019216,188193,Crescent St,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound",1019216.53,188193.305
380,88,1327,JAMAICA LINE,BMT,BMT-JP-ZR-NORWOOD AVE,1017637,187595,Norwood Ave,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",1017635.344,187597.6906
362,89,1326,JAMAICA LINE,BMT,BMT-J-CLEVELAND ST,1016093,186959,Cleveland St,J,J-all times,1016093.983,186957.0442
361,90,1325,JAMAICA LINE,BMT,BMT-J-ZR-VAN SICLEN AVE,1014301,186319,Van Siclen Ave,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",1014298.082,186320.3678
376,91,1324,JAMAICA LINE,BMT,BMT-J-ZR-ALABAMA AVE,1012396,185941,Alabama Ave,J,J-all times,1012394.366,185949.282
374,92,1323,JAMAICA LINE,BMT,BMT-J-ZR-BROADWAY JUNCTION,1010797,186802,Broadway Junction,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound",1010795.035,186800.67
373,93,1322,JAMAICA LINE,BMT,BMT-JP-ZR-CHAUNCEY ST,1009105,188070,Chauncey St,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",1009108.833,188073.3442
375,94,1321,JAMAICA LINE,BMT,BMT-J-HALSEY ST,1007369,189367,Halsey St,J,J-all times,1007369.801,189363.686
20,95,1320,JAMAICA LINE,BMT,BMT-JP-ZR-GATES ST,1005838,190520,Gates Ave,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times",1005829.96,190510.2164
19,96,1319,JAMAICA LINE,BMT,BMT-J-KOSCIUSKO ST,1004075,191826,Kosciuszko St,J,J-all times,1004074.14,191824.6916
122,97,1318,JAMAICA LINE,BMT,BMT-J-M-ZR-MYRTLE AVE,1002101,193290,Myrtle Ave,J-M-Z,"J,M-all times, Z-rush hours AM westbound, PM eastbound",1002102.294,193291.2562
121,98,1317,JAMAICA LINE,BMT,BMT-JP-MP-FLUSHING AVE,1000505,194458,Flushing Ave,J-M,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights",1000496.856,194466.3854
284,99,1316,JAMAICA LINE,BMT,BMT-JP-MP-LORIMER ST,998847,195710,Lorimer St,J-M,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights",998844.485,195707.7732
