Borough,Line,Station,District,STATION_ID
Brooklyn,"F,G",Carroll Street,30,237
Brooklyn,"F,G",Smith / 9 Streets,30,238
Brooklyn,"F,G",4 Avenue / 9 Street,30,239
Brooklyn,"F,G",7 Avenue,30,240
Brooklyn,"F,G",15 Street / Prospect Park,30,241
Brooklyn,"F,G",Fort Hamilton Parkway,30,242
Brooklyn,"F,G",Church Avenue,30,243
Brooklyn,G,Fulton Street,30,292
Brooklyn,G,Clinton / Washington Avenues,30,291
Brooklyn,G,Classon Avenue,30,290
Brooklyn,G,Bedford / Nostrand Avenues,30,289
Brooklyn,G,Myrtle / Willoughby Avenues,30,288
Brooklyn,G,Flushing Avenue,30,287
Brooklyn,G,Broadway,30,286
Brooklyn,G,Metropolitan Avenue,30,285
Brooklyn,G,Nassau Avenue,30,284
Brooklyn,G,Greenpoint Avenue,30,283
Brooklyn,R,Court Street,30,24
Brooklyn,R,Jay Street / Metrotech,30,25
Brooklyn,"A,C",Lafayette Avenue,30,176
Brooklyn,"B,Q,R",Dekalb Avenue,30,26
Brooklyn,"2,3,4,5",Nevins Street,30,337
Brooklyn,"2,3",Hoyt Street,30,336
Brooklyn,"2,3",Borough Hall,30,335
Brooklyn,"4,5",Borough Hall,30,415
Brooklyn,"2,3",Clark Street,30,334
Brooklyn,"A,C",Nostrand Avenue,30,179
Brooklyn,3,New Lots Avenue,32,352
Brooklyn,3,Van Siclen Avenue,32,351
Brooklyn,3,Pennsylvania Avenue,32,350
Brooklyn,3,Junius Street,32,349
Brooklyn,3,Rockaway Avenue,32,348
Brooklyn,3,Saratoga Avenue,32,347
Brooklyn,3,Sutter Avenue / Rutland Road,32,346
Brooklyn,3,Kingston Avenue,32,344
Brooklyn,3,Nostrand Avenue,32,343
Brooklyn,"2,3,4,5",Franklin Avenue,32,342
Brooklyn,"2,5",Flatbush Avenue / Brooklyn College,32,359
Brooklyn,"2,5",Newkirk Avenue,32,358
Brooklyn,"2,5",Beverly Road,32,357
Brooklyn,"2,5",Church Avenue,32,356
Brooklyn,"2,5",Winthrop Street,32,355
Brooklyn,"2,5",Sterling Street,32,354
Brooklyn,"2,5",President Street,32,353
Brooklyn,"2,3,4",Eastern Parkway / Brooklyn Museum,32,241
Brooklyn,"2,3",Grand Army Plaza,32,340
Brooklyn,"2,3",Bergen Street,32,339
Brooklyn,"2,3,4,5",Atlantic Avenue / Barclays Center,32,338
Brooklyn,"B,Q",Atlantic Avenue / Barclays Center,32,40
Brooklyn,"D,N,R",Pacific Street / Atlantic Avenue / Barclays Center,32,27
Brooklyn,R,Union Street,32,28
Brooklyn,R,4 Avenue / 9 Street,32,29
Brooklyn,R,Prospect Avenue,32,30
Brooklyn,R,25 Street,32,31
Brooklyn,"B,Q",7 Avenue,32,41
Brooklyn,"B,Q,S",Prospect Park,32,42
Brooklyn,Q,Parkside Avenue,32,43
Brooklyn,"B,Q",Church Avenue,32,44
Brooklyn,Q,Beverley Road,32,45
Brooklyn,Q,Cortelyou Road,32,46
Brooklyn,S,Botanic Garden,32,142
Brooklyn,S,Park Place,32,141
Brooklyn,L,Bedford Avenue,33,120
Brooklyn,L,Lorimer Street,33,121
Brooklyn,L,Graham Avenue,33,122
Brooklyn,L,Grand Street,33,123
Brooklyn,L,Montrose Avenue,33,124
Brooklyn,L,Morgan Avenue,33,125
Brooklyn,L,Jefferson Street,33,126
Brooklyn,L,Dekalb Avenue,33,127
Brooklyn,L,Myrtle / Wyckoff Avenues,33,128
Brooklyn,L,Halsey Street,33,129
Brooklyn,L,Wilson Avenue,33,130
Brooklyn,L,Bushwick Avenue / Aberdeen Street,33,131
Brooklyn,L,Broadway Junction,33,132
Brooklyn,L,Atlantic Avenue,33,133
Brooklyn,L,Sutter Avenue,33,134
Brooklyn,L,Livonia Avenue,33,135
Brooklyn,L,New Lots Avenue,33,136
Brooklyn,L,East 105 Street,33,137
Brooklyn,L,Canarsie/ Rockaway Parkway,33,138
Brooklyn,"J,M,Z",Marcy Avenue,33,101
Brooklyn,"J,M",Hewes Street,33,100
Brooklyn,"J,M",Lorimer Street,33,99
Brooklyn,"J,M",Flushing Avenue,33,98
Brooklyn,"J,M,Z",Myrtle Avenue,33,97
Brooklyn,J,Kosciusko Street,33,96
Brooklyn,"J,Z",Gates Avenue,33,95
Brooklyn,J,Halsey Street,33,94
Brooklyn,"J,Z",Chauncey Street,33,93
Brooklyn,"J,Z",Broadway Junction / Eastern Parkway,33,92
Brooklyn,J,Alabama Avenue,33,91
Brooklyn,"J,Z",Van Siclen Avenue,33,90
Brooklyn,J,Cleveland Street,33,89
Brooklyn,"J,Z",Norwood Avenue,33,88
Brooklyn,"J,Z",Crescent Street,33,87
Brooklyn,J,Cypress Hills,33,86
Brooklyn,M,Central Avenue,33,114
Brooklyn,M,Knickerbocker Avenue,33,113
Brooklyn,"L,M",Myrtle / Wyckoff Avenues,33,112
Brooklyn,M,Seneca Avenue,33,111
Brooklyn,M,Forest Avenue,33,110
Brooklyn,M,Fresh Pond Road,33,109
Brooklyn,M,Middle Village / Metropolitan Avenue,33,108
Brooklyn,"A,C",Kingston / Throop Avenues,33,180
Brooklyn,"A,C",Utica Avenue,33,181
Brooklyn,"A,C",Ralph Avenue,33,182
