X,Y,BOROUGH,LINE,STATION,DISTRICT,STATION_ID,NOTE
1022603,205180,"Queens","M,R","63 Drive / Rego Park","20",263,"E-nights, R-all other times, M-weekdays and evenings"
1018275,207741,"Queens","M,R","Grand Avenue / Newton","20",265,"E-nights, R-all other times, M-weekdays and evenings"
1014370,211280,"Queens","E,F,M,R","Jackson Heights / Roosevelt Ave","20",267,"E,F-all times, M-weekdays and evenings, R-all times exc nights"
1010276,213565,"Queens","M,R","Northern Boulevard","20",269,"E-nights, R-all other times, M-weekdays and evenings"
1006268,215078,"Queens","M,R","Steinway Street","20",271,"E-nights, R-all other times, M-weekdays and evenings"
1001668,212134,"Queens","E,M,R","Queens Plaza","20",273,"E-all times, M-weekdays and evenings, R-all times exc nights"
998216,210387,"Queens","G","21 Street","20",282,"G-all times"
1031337,216065,"Queens","E,M","Main Street / Flushing","20",447,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
1024332,213185,"Queens","7","111 Street / Roosevelt Ave","20",449,"7-all times"
1020401,212237,"Queens","7","Junction Boulevard","20",451,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
1016476,211690,"Queens","7","82 Street / Jackson Heights","20",453,"7-all times"
1012955,211200,"Queens","7","69 Street","20",455,"7-all times"
1008482,210402,"Queens","7","52 Street","20",457,"7-all times"
1005305,210265,"Queens","7","40 Street","20",459,"7-all times"
1000829,212759,"Queens","N,W,7","Queensboro Plaza","20",461,"7,N-all times, 7 Express-rush hours AM westbound, PM eastbound, W part time"
998406,209690,"Queens","7","Hunters Point Avenue","20",463,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
1008614,221655,"Queens","N,W","Ditmars Boulevard / Astoria","20",1,"N-all times, W part time"
1006001,218645,"Queens","N,W","30 Avenue","20",3,"N-all times, W part time"
1003681,214877,"Queens","N,W","36 Avenue","20",5,"N-all times, W part time"
1039400,195121,"Queens","E,J,Z","Parsons / Archer / Jamaica Center","20",278,"E,J-all times, Z-rush hours AM westbound, PM eastbound"
1034987,195414,"Queens","E,J,Z","Jamaica / Van Wyck","20",280,"E-all times"
1029506,193296,"Queens","J,Z","111 Street","20",81,"J-all times"
1025277,192046,"Queens","J,Z","Woodhaven Boulevard","20",83,"J-all times, Z-rush hours AM westbound, PM eastbound"
1021053,191160,"Queens","J","75 Street / Elderts Lane","20",85,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1000337,213890,"Queens","F","21 Street / Queensbridge","20",221,"F-all times"
1023361,186821,"Queens","A","80 Street","23",190,"A-all times, S Euclid Av to Ozone Park-Lefferts Blvd-nights"
1029270,187684,"Queens","A","104 Street","23",193,"S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times"
1032563,189235,"Queens","A","Ozone Park / Lefferts Boulevard","23",195,"S to Euclid Av-nights, A-all other times"
1029766,184182,"Queens","A","Aqueduct / Racetrack","23",196,"A-to Manhattan only, racing days only"
1035386,160987,"Queens","A,S","Broad Channel","23",199,"A,S to Rockaway Park-all times"
1032142,151824,"Queens","A,S","Beach 105 Street","23",202,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
1036008,153589,"Queens","A,S","Beach 90 Street","23",200,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
1042983,155165,"Queens","A","Beach 60 Street","23",205,"A-all times"
1048631,156281,"Queens","A","Beach 36 Street","23",207,"A-all times"
1052169,159423,"Queens","A","Far Rockaway / Mott Avenue","23",209,"A-all times"
987795,191562,"Brooklyn","A,C,F","Jay Street / Metrotech","30",174,"A,F-all times, C-all times exc nights"
